order,nrowMRD,jfID,ncolfrLast
6284,41830,X908014238006_H_6,41830
6285,33817,X908013163005_F_9,30862
6286,40036,X908014171009_F_5,35870
6287,47581,X908015219018_F_8,47581
6288,37393,X908013253019_H_8,27910
6289,47468,X908015219017_E_11,47468
6290,41992,X908014239001_C_6,41992
6291,36027,X908013253001_D_3,26550
6292,33760,X908013163005_B_11,30805
6293,47817,X908015229001_C_3,47817
6294,43327,X908015139004_B_12,43327
6295,34880,X908013183001_F_5,31925
6296,48957,X908015229014_D_7,48957
6297,45403,X908015145016_G_11,45403
6298,32388,X907514182042_E_8,40988
6299,33890,X908013163006_E_11,30935
6300,37138,X908013253013_B_9,27655
6301,40165,X908014171011_A_6,35999
6302,47326,X908015219015_H_9,47326
6303,40022,X908014171009_E_3,35856
6304,45830,X908015154005_D_10,45830
6305,48579,X908015229009_F_4,48579
6306,45419,X908015145016_H_7,45419
6307,41843,X908014238007_A_7,41843
6308,31131,X907514182029_B_9,39731
6309,32484,X907514182043_F_1,41084
6310,45478,X908015154001_D_1,45478
6311,32229,X907514182040_H_3,40829
6312,49044,X908015257001_D_4,49044
6313,32740,X908013142002_B_11,29848
6314,38134,X908013253028_G_8,28651
6315,47479,X908015219017_F_10,47479
6316,41273,X908014238001_A_11,41273
6317,45503,X908015154001_F_8,45503
6318,35059,X908013183003_F_12,32104
6319,46556,X908015154047_A_11,46556
6320,49374,X908015257005_A_10,49374
6321,37659,X908013253022_G_5,28176
6322,44735,X908015145008_G_11,44735
6323,35439,X908013183011_C_7,32484
6324,35654,X908013183013_F_10,32699
6325,31670,X907514182034_H_8,40270
6326,49502,X908015257006_C_9,49502
6327,37024,X908013253012_A_11,27541
6328,39734,X908014171006_D_3,35568
6329,31884,X907514182037_C_1,40484
6330,32499,X907514182043_G_2,41099
6331,49848,X908015257010_D_12,49848
6332,32300,X907514182041_F_2,40900
6333,48630,X908015229010_C_12,48630
6334,43143,X908015139001_D_12,43143
6335,41523,X908014238003_F_3,41523
6336,45202,X908015145014_E_4,45202
6337,48055,X908015229004_A_2,48055
6338,50169,X908015257013_G_7,50169
6339,44587,X908015145006_G_7,44587
6340,49888,X908015257010_G_6,49888
6341,32889,X908013142004_F_10,29997
6342,41632,X908014238004_G_7,41632
6343,42294,X908014239004_E_4,42294
6344,39965,X908014171008_H_6,35799
6345,39810,X908014171007_C_10,35644
6346,33819,X908013163005_G_10,30864
6347,47918,X908015229002_D_9,47918
6348,40613,X908014171015_G_7,36447
6349,45462,X908015154001_B_12,45462
6350,43404,X908015139004_H_8,43404
6351,43288,X908015139003_F_8,43288
6352,45266,X908015145015_C_1,45266
6353,49095,X908015257002_A_1,49095
6354,35986,X908013253001_A_1,26509
6355,44649,X908015145007_F_11,44649
6356,35287,X908013183006_A_7,32332
6357,36669,X908013253008_B_7,27186
6358,36058,X908013253001_G_1,26581
6359,43091,X908015138004_C_2,43091
6360,46554,X908015154047_A_1,46554
6361,32392,X907514182042_F_11,40992
6362,46899,X908015219011_B_8,46899
6363,49590,X908015257007_D_1,49590
6364,33461,X908013143001_B_7,29712
6365,40508,X908014171014_F_7,36342
6366,46281,X908015154044_A_3,46281
6367,47196,X908015219014_E_1,47196
6368,44036,X908015139013_E_7,44036
6369,40646,X908014171016_B_6,36480
6370,32669,X908013142001_B_9,29777
6371,39920,X908014171008_D_7,35754
6372,49005,X908015257001_A_12,49005
6373,36387,X908013253005_B_7,26906
6374,39583,X908014171004_G_4,35417
6375,40942,X908014171019_C_8,36776
6376,34852,X908013183001_C_8,31897
6377,37704,X908013253023_C_3,28221
6378,45651,X908015154003_D_4,45651
6379,42708,X908014240001_A_1,42708
6380,44991,X908015145011_G_6,44991
6381,30931,X907514182027_A_9,39531
6382,38799,X908014125007_A_7,34635
6383,31529,X907514182033_D_7,40129
6384,46053,X908015154023_F_10,46053
6385,39633,X908014171005_C_7,35467
6386,36976,X908013253011_E_1,27493
6387,48413,X908015229007_H_3,48413
6388,49676,X908015257008_D_10,49676
6389,47532,X908015219018_B_7,47532
6390,36223,X908013253003_D_9,26744
6391,33649,X908013163003_H_6,30694
6392,41203,X908014171022_B_7,37037
6393,47818,X908015229001_C_4,47818
6394,32893,X908013142004_F_5,30001
6395,36328,X908013253004_E_7,26848
6396,37101,X908013253012_G_6,27618
6397,40387,X908014171013_D_4,36221
6398,47758,X908015219020_F_10,47758
6399,41448,X908014238002_H_10,41448
6400,50147,X908015257013_E_8,50147
6401,45361,X908015145016_C_11,45361
6402,35735,X908013183014_E_3,32780
6403,31153,X907514182029_D_7,39753
6404,31591,X907514182034_B_10,40191
6405,43914,X908015139011_G_11,43914
6406,31271,X907514182030_F_7,39871
6407,31252,X907514182030_E_11,39852
6408,36472,X908013253006_B_10,26991
6409,43688,X908015139008_G_10,43688
6410,42136,X908014239002_H_1,42136
6411,43445,X908015139005_D_12,43445
6412,34638,X908013163015_F_8,31683
6413,48148,X908015229005_A_7,48148
6414,36970,X908013253011_D_4,27487
6415,47523,X908015219018_B_1,47523
6416,48259,X908015229006_C_12,48259
6417,38113,X908013253028_F_1,28630
6418,47838,X908015229001_E_3,47838
6419,48988,X908015229014_G_6,48988
6420,42661,X908014239008_D_8,42661
6421,33568,X908013163003_A_7,30613
6422,36245,X908013253003_F_7,26766
6423,46604,X908015154047_E_11,46604
6424,49619,X908015257007_F_6,49619
6425,43266,X908015139003_E_1,43266
6426,35764,X908013183014_G_4.1,32809
6427,46723,X908015219009_C_7,46723
6428,46054,X908015154023_F_11,46054
6429,38813,X908014125007_C_1,34648
6430,41311,X908014238001_D_2,41311
6431,41062,X908014171020_F_10,36896
6432,33331,X908013142010_D_9,30439
6433,31295,X907514182030_H_9,39895
6434,42486,X908014239006_E_8,42486
6435,39899,X908014171008_C_1,35733
6436,49430,X908015257005_E_7,49430
6437,33462,X908013143001_B_8,29713
6438,34853,X908013183001_C_9,31898
6439,36848,X908013253010_B_10,27365
6440,43897,X908015139011_E_6,43897
6441,45605,X908015154002_H_3,45605
6442,48573,X908015229009_F_1,48573
6443,47473,X908015219017_E_5,47473
6444,47434,X908015219017_B_11,47434
6445,34867,X908013183001_E_2,31912
6446,46846,X908015219010_F_11,46846
6447,46895,X908015219011_B_4,46895
6448,41136,X908014171021_D_3,36970
6449,35043,X908013183003_D_9,32088
6450,36238,X908013253003_F_11,26759
6451,42765,X908014240001_F_7,42765
6452,39600,X908014171005_A_1,35434
6453,43379,X908015139004_F_5,43379
6454,42219,X908014239003_G_10,42219
6455,35099,X908013183004_A_7,32144
6456,45052,X908015145012_E_12,45052
6457,35453,X908013183011_D_9,32498
6458,44647,X908015145007_E_8,44647
6459,35804,X908013183015_B_9,32849
6460,34242,X908013163010_C_7.1,31287
6461,46140,X908015154034_E_11,46140
6462,40346,X908014171013_A_10,36180
6463,40887,X908014171018_G_10,36721
6464,32803,X908013142002_H_9,29911
6465,43980,X908015139012_F_6,43980
6466,41498,X908014238003_D_2,41498
6467,37611,X908013253022_C_4,28128
